,A.muc,Firmicutes,Bacteroidetes,Lactobucillius,Bifido,Parab,16S
B10+AC0-1,31.953,17.047,14.336,35.274,22.411,40,13.274
B10+AC0-2,28.573,15.87,14.537,29.075,17.817,40,12.658
B10+AC0-2,29.058,15.881,14.525,29.647,17.618,40,12.915
B10+AC0-2,28.961,15.855,14.473,29.122,17.544,,13.156
B10+AC0-3,29.408,16.538,14.894,26.34,20.695,40,12.983
B10+AC0-3,29.782,16.252,14.557,26.282,20.494,40,13.046
B10+AC0-3,30.021,16.299,14.647,26.356,20.769,40,13.366
B11+AC0-1,32.526,16.936,15.62,35.306,25.578,26.844,13.779
B11+AC0-1,32.298,16.812,15.095,36.545,25.011,26.357,13.398
B11+AC0-1,33.111,16.908,15.16,35.955,24.981,26.417,13.658
B11+AC0-2,32.209,16.934,15.894,,23.62,24.585,13.933
B11+AC0-2,32.137,16.476,15.832,35.995,23.324,24.048,13.854
B11+AC0-2,33.494,16.714,15.71,35.564,23.633,24.135,14.174
B11+AC0-3,33.34,17.487,15.15,,24.271,28.298,14.428
B11+AC0-3,34.343,17.979,15.902,36.212,25.263,29.191,14.854
B11+AC0-3,33.089,17.92,15.924,36.444,25.157,28.646,14.716
B12+AC0-1,29.725,15.173,14.344,,18.419,,13.063
B12+AC0-1,29.157,15.329,14.915,36.458,18.729,38.989,13.12
B12+AC0-1,29.132,15.089,14.871,36.005,18.833,36.502,13.191
B12+AC0-2,27.964,15.076,13.972,36.96,17.997,39.107,12.337
B12+AC0-2,28.181,15.146,14.159,36.593,18.067,,12.423
B12+AC0-2,28.527,15.232,14.115,,18.093,38.415,12.531
B12+AC0-3,30.514,17.64,16.367,32.49,21.28,37.435,15.394
B12+AC0-3,31.712,17.232,16.279,33.061,21.182,37.337,14.855
B12+AC0-3,31.591,17.031,16.05,32.878,21.091,38.313,15.083
B13+AC0-1,29.962,15.755,14.288,,15.989,25.036,12.609
B13+AC0-1,31.215,15.426,14.26,40,16.118,25.226,12.648
B13+AC0-1,30.623,15.576,14.293,40,16.066,25.134,12.865
B13+AC0-2,28.971,15.863,13.951,34.923,15.707,24.879,12.302
B13+AC0-2,29.373,15.64,13.929,34.701,15.997,25.93,12.699
B13+AC0-2,30.041,15.622,13.897,33.627,15.726,24.976,12.453
B13+AC0-3,31.073,17.401,15.869,,21.991,25.935,14.462
B13+AC0-3,31.763,17.087,15.688,35.201,21.879,25.562,14.483
B13+AC0-3,32.6,17.155,15.674,34.022,21.8,25.641,14.508
B14+AC0-1,33.384,17.122,13.357,34.183,32.634,40,12.122
B14+AC0-1,33.933,17.027,13.625,34.66,31.762,40,12.569
B14+AC0-1,33.913,17.054,13.47,,31.39,39.16,12.427
B14+AC0-2,33.549,16.509,14,37.932,22.193,40,12.96
