"","A.muc","Firmicutes","Bacteroidetes","Lactobucillius","Bifido","Parab"
"C6+AC0-2","   6.3247129328","   1.9105658728","   0.9942404238","   0.4678117489","   0.6165686039","             NA"
"C7+AC0-2","   0.6075183960","   0.4172546406","   0.9293753808","   0.5765429533","   0.4030414157","             NA"
"C7+AC0-2","             NA","   0.5069797399","   1.5532965963","             NA","   0.2887714461","             NA"
"C7+AC0-2","   0.6529298935","   0.4866646871","   1.5139665531","   0.2466436415","   0.4588199412","             NA"
"C8+AC0-2","   0.0110536501","   0.6448341253","   1.0181851998","   0.9412609620","   0.2298344024","   0.9144650895"
"C8+AC0-2","   0.0108788259","   0.7531452333","   1.1687772486","   0.4564936404","   0.2082901710","   0.8485079017"
"C8+AC0-2","   0.0201045613","   0.9176398823","   1.1471070242","   0.2796446562","   0.1579638857","   0.6939963595"
"C9+AC0-2","   1.2707380526","   0.8006997902","   1.0874883909","   3.7037840901","   0.3868018679","             NA"
"C9+AC0-2","   1.2351332278","   1.1300082718","   1.0740044716","   1.2727949353","   0.3041103171","             NA"
"C9+AC0-2","   1.2602121871","   0.9885140204","   1.2285869804","   1.8200776482","   0.3026383386","             NA"
"C10+AC0-2","  15.2774656626","   0.9940107320","   0.7105460216","   3.3593140325","   1.6954481523","   3.7416293915"
"C10+AC0-2","  18.0926688852","   1.5947533768","   0.7284995569","   1.4981339957","   1.4506170054","   4.7000192532"
"C10+AC0-2","  17.8683353769","   1.5903379055","   0.7458720133","   1.4094835757","   2.1282485783","   4.0831049963"
"C11+AC0-2","   0.0065558565","   0.4330683566","   1.1914072692","            NaN","   0.6197106499","             NA"
"C11+AC0-2","   0.0056325347","   0.6861836552","   1.2637110855","            NaN","   0.4517719698","            NaN"
"C11+AC0-2","   0.0067635669","   0.8053381969","   1.2689776561","             NA","   0.4477193780","            NaN"
"C12+AC0-2","   0.0142720198","   1.5457782086","   0.9091981582","             NA","   0.3513546751","   0.4215181525"
"C12+AC0-2","   0.0221482011","   1.9742891967","   1.0415027630","   0.1384400558","   0.2696201079","   0.5353916956"
"C12+AC0-2","   0.0180398773","   1.9990760173","   1.0393392691","   0.0759573473","   0.2642545101","   0.6322936634"
"C13+AC0-2","   0.3785790985","   1.3459890438","   0.6010957258","   3.8468209116","   1.8995618231","   3.2220971642"
"C13+AC0-2","   0.7059640710","   2.1312010033","   0.6227248112","   3.6977986408","   1.8476182051","   3.9751243733"
"C13+AC0-2","   0.6437920500","   2.1400828756","   0.6518747352","   7.9704803179","   1.7334745631","   4.2811547937"
"C14+AC0-2","   1.4848666080","   0.9605948640","   1.1276609270","   0.2318612017","   0.0142456639","  22.8744740454"
"C14+AC0-2","   1.7842692450","   1.0083524549","   1.1206481090","   0.1423321355","   0.0160717035","  24.0616999468"
"C14+AC0-2","   0.6691183587","   0.7381572028","   1.1052198153","   0.2031100220","   0.0152575451","  27.5631079448"
"C15+AC0-2","   0.3642497785","   0.3212273565","   1.4204355109","   6.3203304949","   0.4015542089","   1.4836663238"
"C15+AC0-2","   0.2879719106","   0.3445216776","   1.4382688051","   4.3019775618","   0.6505206082","             NA"
"C15+AC0-2","   0.1475217929","   0.2446288848","   1.1537521476","  12.5185885078","   0.5302213494","   2.3232858449"
"C16+AC0-2","   0.7412335049","   1.4634093010","   0.9491228017","  28.1162704711","   6.1446606329","             NA"
"C16+AC0-2","   1.2701509825","   1.6226291748","   1.1428742449","  13.3090282573","   6.6776169281","   1.0633869500"
"C16+AC0-2","   0.7960880988","   1.3768136763","   1.1668884622","  14.4533632127","   6.0349145070","   1.8786113969"
"C17+AC0-2","   0.3893123455","   0.3501390802","   1.2494847846","             NA","   0.1071720046","   0.6287971861"
"C17+AC0-2","   0.3773564921","   0.3999800642","   1.2417143553","   0.2469002154","   0.1278921837","             NA"
"C17+AC0-2","   0.2586368954","   0.3264649468","   1.1804470530","   0.3917485935","   0.1002726458","   0.7926009857"
"C18+AC0-2","   0.7725320362","   0.8510603435","   1.2055292591","             NA","   1.3379275548","   4.0624029094"
"C18+AC0-2","   1.0436707604","   0.7601380371","   1.3028460932","   0.1853940267","   1.5691681958","   4.8343882254"
"C18+AC0-2","   0.5899508483","   0.7761101531","   1.4021752419","   0.1040729226","   1.7605180271","   4.9737477226"
"C19+AC0-2","   0.8919285194","   0.8526348918","   1.1258385861","   0.0225093260","   0.4190903866","   1.2631272618"
"C19+AC0-2","   0.9719809880","   0.9100388241","   1.3669874519","   0.0613270203","   0.6212876722","   1.4620574484"
"C19+AC0-2","   0.5536322922","   0.6708211124","   1.1407637159","   0.0311346887","   0.4751099525","   1.5691681958"
"C20+AC0-2","  25.1531410675","   1.4640856959","   0.5613607110","             NA","   4.3029716445","            NaN"
"C20+AC0-2","  37.1082141356","   1.4359445106","   0.6611273026","   0.2731313207","   4.5294420109","            NaN"
"C20+AC0-2","             NA","   1.7715350382","   0.7668413298","   1.8578920347","   4.1391465615","             NA"
"C21+AC0-2","   0.0344982423","   0.8623427655","   1.0553098611","  11.5647860147","   0.4790782869","             NA"
"C21+AC0-2","   0.0205270009","   0.8510603435","   1.3339149343","   7.7686648143","   0.5067455196","             NA"
"C21+AC0-2","   0.0094051500","   0.8995861367","   1.4256962735","             NA","   0.4199627673","             NA"
"C23+AC0-2","   0.6944775679","   0.6004017137","   1.0557976305","   0.2662770508","   0.6073780456","   2.0595559704"
"C23+AC0-2","   1.0132569002","   0.6302516958","   1.1845452683","   0.4428837596","   0.6154299957","   1.9715541470"
"C23+AC0-2","   1.0160701430","   0.6533826269","   1.3308364941","   0.3372756336","   0.5596771165","   1.8369767073"
"C24+AC0-2","   0.5383687841","   2.2725835472","   0.3433297232","   2.3000523004","   0.5650041359","   3.8228978914"
"C24+AC0-2","   0.7467341764","   2.6709136474","   0.6776755690","             NA","   0.7419188668","   1.5227368721"
"C24+AC0-2","   0.5899508483","   2.7901319156","   0.7405487761","   1.6422419192","   0.6352222418","   2.2762620692"
